name of company,salary,college name,region,year
XORIANT,"₹657,673/yr",XAVIER INSTITUTE OF ENGINEERING,MUMBAI,2018.0
XORIANT,"₹657,673/yr",INDIRA COLLEGE OF ENGINEERING AND MANAGEMENT,PUNE,2018.0
XORIANT,"₹657,673/yr",VISHWAKARMA INSTITUTE OF TECHNOLOGY,PUNE,2018.0
QUINNOX,"₹446,973/yr",PILLAI COLLEGE OF ENGINEERING,NAVI MUMBAI,2018.0
QUINNOX,"₹446,973/yr",THAKUR COLLEGE OF ENGINEERING AND TECHNOLOGY,MUMBAI,2018.0
QUINNOX,"₹446,973/yr",THADOMAL SHAHANI ENGINEERING COLLEGE,MUMBAI,2018.0
QUINNOX,"₹446,973/yr",LOKMANYA TILAK COLLEGE OF ENGINEERING,NAVI MUMBAI,2018.0
QUINNOX,"₹446,973/yr",LOKMANYA TILAK COLLEGE OF ENGINEERING,NAVI MUMBAI,2016.0
QUINNOX,"₹446,973/yr",ALAMURI RATNAMALA INSTITUTE OF ENGINEERING & TECHNOLOGY,THANE,2015.0
QUINNOX,"₹446,973/yr",ALAMURI RATNAMALA INSTITUTE OF ENGINEERING & TECHNOLOGY,THANE,2015.0
QUINNOX,"₹446,973/yr",ALAMURI RATNAMALA INSTITUTE OF ENGINEERING & TECHNOLOGY,THANE,2015.0
QUINNOX,"₹446,973/yr",MIT COLLEGE OF ENGINEERING,PUNE,2018.0
INDUS VALLEY PARTNERS,"₹788,735/yr",K. J. SOMAIYA COLLEGE OF ENGINEERING,MUMBAI,2018.0
INDUS VALLEY PARTNERS,"₹788,735/yr",DWARKADAS J. SANGHVI COLLEGE OF ENGINEERING,MUMBAI,2015.0
INDUS VALLEY PARTNERS,"₹788,735/yr",DWARKADAS J. SANGHVI COLLEGE OF ENGINEERING,MUMBAI,2017.0
INDUS VALLEY PARTNERS,"₹788,735/yr",DWARKADAS J. SANGHVI COLLEGE OF ENGINEERING,MUMBAI,2017.0
INDUS VALLEY PARTNERS,"₹788,735/yr",DWARKADAS J. SANGHVI COLLEGE OF ENGINEERING,MUMBAI,2018.0
IGATE,"₹29,996/mo",PILLAI HOC COLLEGE OF ENGINEERING AND TECHNOLOGY,NAVI MUMBAI,2018.0
IGATE,"₹29,996/mo",PILLAI HOC COLLEGE OF ENGINEERING AND TECHNOLOGY,NAVI MUMBAI,2018.0
IGATE,"₹29,996/mo",THAKUR COLLEGE OF ENGINEERING AND TECHNOLOGY,MUMBAI,2018.0
HEXAWARE TECHNOLOGIES,"₹30,641/mo",PILLAI HOC COLLEGE OF ENGINEERING AND TECHNOLOGY,NAVI MUMBAI,2018.0
HEXAWARE TECHNOLOGIES,"₹30,641/mo",PILLAI HOC COLLEGE OF ENGINEERING AND TECHNOLOGY,NAVI MUMBAI,2018.0
HEXAWARE TECHNOLOGIES,"₹30,641/mo",THAKUR COLLEGE OF ENGINEERING AND TECHNOLOGY,MUMBAI,2018.0
HEXAWARE TECHNOLOGIES,"₹30,641/mo",ALAMURI RATNAMALA INSTITUTE OF ENGINEERING & TECHNOLOGY,THANE,2017.0
MAQ SOFTWARE,"₹760,901/yr",PILLAI HOC COLLEGE OF ENGINEERING AND TECHNOLOGY,NAVI MUMBAI,2018.0
MAQ SOFTWARE,"₹760,901/yr",PILLAI HOC COLLEGE OF ENGINEERING AND TECHNOLOGY,NAVI MUMBAI,2018.0
MAQ SOFTWARE,"₹760,901/yr","DR. D. Y. PATIL VIDYAPEETH, PUNE",PUNE,2018.0
DIRECTI,"₹1,656,475/yr",K. J. SOMAIYA COLLEGE OF ENGINEERING,MUMBAI,2018.0
DIRECTI,"₹1,656,475/yr",THADOMAL SHAHANI ENGINEERING COLLEGE,MUMBAI,2018.0
DIRECTI,"₹1,656,475/yr",DWARKADAS J. SANGHVI COLLEGE OF ENGINEERING,MUMBAI,2015.0
DIRECTI,"₹1,656,475/yr",DWARKADAS J. SANGHVI COLLEGE OF ENGINEERING,MUMBAI,2016.0
DIRECTI,"₹1,656,475/yr",DWARKADAS J. SANGHVI COLLEGE OF ENGINEERING,MUMBAI,2018.0
DIRECTI,"₹1,656,475/yr",ARMY INSTITUTE OF TECHNOLOGY,PUNE,2018.0
ATOS,"₹25,600/mo",XAVIER INSTITUTE OF ENGINEERING,MUMBAI,2018.0
ATOS,"₹25,600/mo",XAVIER INSTITUTE OF ENGINEERING,MUMBAI,2018.0
ATOS,"₹25,600/mo",DWARKADAS J. SANGHVI COLLEGE OF ENGINEERING,MUMBAI,2016.0
ATOS,"₹25,600/mo",DWARKADAS J. SANGHVI COLLEGE OF ENGINEERING,MUMBAI,2017.0
ATOS,"₹25,600/mo",DWARKADAS J. SANGHVI COLLEGE OF ENGINEERING,MUMBAI,2018.0
ATOS,"₹25,600/mo",INDIRA COLLEGE OF ENGINEERING AND MANAGEMENT,PUNE,2018.0
ATOS,"₹25,600/mo",BHARATI VIDYAPEETH COLLEGE OF ENGINEERING,PUNE,2015.0
ATOS,"₹25,600/mo",PUNE INSTITUTE OF COMPUTER TECHNOLOGY,PUNE,2015.0
ATOS,"₹25,600/mo",PUNE INSTITUTE OF COMPUTER TECHNOLOGY,PUNE,2016.0
ATOS,"₹25,600/mo",PUNE INSTITUTE OF COMPUTER TECHNOLOGY,PUNE,2017.0
ATOS,"₹25,600/mo",PUNE INSTITUTE OF COMPUTER TECHNOLOGY,PUNE,2018.0
MPHASIS,"₹710,194/yr",PILLAI HOC COLLEGE OF ENGINEERING AND TECHNOLOGY,NAVI MUMBAI,2018.0
MPHASIS,"₹710,194/yr",PILLAI HOC COLLEGE OF ENGINEERING AND TECHNOLOGY,NAVI MUMBAI,2018.0
MPHASIS,"₹710,194/yr",SMT. INDIRA GANDHI COLLEGE OF ENGINEERING,NAVI MUMBAI,2018.0
MPHASIS,"₹710,194/yr",DHOLE PATIL COLLEGE OF ENGINEERING PUNE,PUNE,2018.0
MPHASIS,"₹710,194/yr",INDIRA COLLEGE OF ENGINEERING AND MANAGEMENT,PUNE,2018.0
MPHASIS,"₹710,194/yr","TRINITY COLLEGE OF ENGINEERING AND RESEARCH,PUNE",PUNE,2018.0
MPHASIS,"₹710,194/yr",VISHWAKARMA INSTITUTE OF TECHNOLOGY,PUNE,2018.0
MPHASIS,"₹710,194/yr",BHARATI VIDYAPEETH COLLEGE OF ENGINEERING,PUNE,2017.0
WIPRO,"₹482,653/yr",ALAMURI RATNAMALA INSTITUTE OF ENGINEERING & TECHNOLOGY,THANE,2017.0
WIPRO,"₹482,653/yr",DWARKADAS J. SANGHVI COLLEGE OF ENGINEERING,MUMBAI,2018.0
WIPRO,"₹482,653/yr",COLLEGE OF ENGINEERING PUNE,PUNE,2018.0
WIPRO,"₹482,653/yr",INDIRA COLLEGE OF ENGINEERING AND MANAGEMENT,PUNE,2018.0
WIPRO,"₹482,653/yr",VISHWAKARMA INSTITUTE OF TECHNOLOGY,PUNE,2018.0
NEOSOFT TECHNOLOGIES,"₹482,921/yr",K. J. SOMAIYA COLLEGE OF ENGINEERING,MUMBAI,2018.0
NEOSOFT TECHNOLOGIES,"₹482,921/yr",SMT. INDIRA GANDHI COLLEGE OF ENGINEERING,NAVI MUMBAI,2018.0
INFOSYS,"₹470,498/yr",PILLAI COLLEGE OF ENGINEERING,NAVI MUMBAI,2018.0
INFOSYS,"₹470,498/yr",THAKUR COLLEGE OF ENGINEERING AND TECHNOLOGY,MUMBAI,2018.0
INFOSYS,"₹470,498/yr",XAVIER INSTITUTE OF ENGINEERING,MUMBAI,2018.0
INFOSYS,"₹470,498/yr",THADOMAL SHAHANI ENGINEERING COLLEGE,MUMBAI,2018.0
INFOSYS,"₹470,498/yr",VEERMATA JIJABAI TECHNOLOGICAL INSTITUTE,MUMBAI,2017.0
INFOSYS,"₹470,498/yr",VEERMATA JIJABAI TECHNOLOGICAL INSTITUTE,MUMBAI,2015.0
INFOSYS,"₹470,498/yr",VEERMATA JIJABAI TECHNOLOGICAL INSTITUTE,MUMBAI,2014.0
INFOSYS,"₹470,498/yr",DWARKADAS J. SANGHVI COLLEGE OF ENGINEERING,MUMBAI,2016.0
INFOSYS,"₹470,498/yr",DWARKADAS J. SANGHVI COLLEGE OF ENGINEERING,MUMBAI,2017.0
INFOSYS,"₹470,498/yr",DWARKADAS J. SANGHVI COLLEGE OF ENGINEERING,MUMBAI,2018.0
INFOSYS,"₹470,498/yr",COLLEGE OF ENGINEERING PUNE,PUNE,2018.0
INFOSYS,"₹470,498/yr",DHOLE PATIL COLLEGE OF ENGINEERING PUNE,PUNE,2018.0
INFOSYS,"₹470,498/yr",INDIRA COLLEGE OF ENGINEERING AND MANAGEMENT,PUNE,2018.0
INFOSYS,"₹470,498/yr","TRINITY COLLEGE OF ENGINEERING AND RESEARCH,PUNE",PUNE,2018.0
INFOSYS,"₹470,498/yr",VISHWAKARMA INSTITUTE OF TECHNOLOGY,PUNE,2018.0
INFOSYS,"₹470,498/yr",BHARATI VIDYAPEETH COLLEGE OF ENGINEERING,PUNE,2015.0
INFOSYS,"₹470,498/yr",PUNE INSTITUTE OF COMPUTER TECHNOLOGY,PUNE,2018.0
RAVE TECHNOLOGIES,"₹636,636/yr",PILLAI HOC COLLEGE OF ENGINEERING AND TECHNOLOGY,NAVI MUMBAI,2018.0
RAVE TECHNOLOGIES,"₹636,636/yr",PILLAI HOC COLLEGE OF ENGINEERING AND TECHNOLOGY,NAVI MUMBAI,2018.0
INFOGAIN,"₹415,614/yr",LOKMANYA TILAK COLLEGE OF ENGINEERING,NAVI MUMBAI,2018.0
INFOGAIN,"₹415,614/yr",DWARKADAS J. SANGHVI COLLEGE OF ENGINEERING,MUMBAI,2017.0
NUCSOFT,"₹225,812/yr",PILLAI HOC COLLEGE OF ENGINEERING AND TECHNOLOGY,NAVI MUMBAI,2018.0
NUCSOFT,"₹225,812/yr",PILLAI HOC COLLEGE OF ENGINEERING AND TECHNOLOGY,NAVI MUMBAI,2018.0
NUCSOFT,"₹225,812/yr",SMT. INDIRA GANDHI COLLEGE OF ENGINEERING,NAVI MUMBAI,2018.0
NUCSOFT,"₹225,812/yr",RAMRAO ADIK INSTITUTE OF TECHNOLOGY,NAVI MUMBAI,2017.0
NUCSOFT,"₹225,812/yr",LOKMANYA TILAK COLLEGE OF ENGINEERING,NAVI MUMBAI,2018.0
NUCSOFT,"₹225,812/yr",LOKMANYA TILAK COLLEGE OF ENGINEERING,NAVI MUMBAI,2016.0
NUCSOFT,"₹225,812/yr",ALAMURI RATNAMALA INSTITUTE OF ENGINEERING & TECHNOLOGY,THANE,2016.0
TECH MAHINDRA,"₹29,854/mo",PILLAI HOC COLLEGE OF ENGINEERING AND TECHNOLOGY,NAVI MUMBAI,2018.0
TECH MAHINDRA,"₹29,854/mo",PILLAI HOC COLLEGE OF ENGINEERING AND TECHNOLOGY,NAVI MUMBAI,2018.0
TECH MAHINDRA,"₹29,854/mo",THADOMAL SHAHANI ENGINEERING COLLEGE,MUMBAI,2018.0
TECH MAHINDRA,"₹29,854/mo",VEERMATA JIJABAI TECHNOLOGICAL INSTITUTE,MUMBAI,2014.0
TECH MAHINDRA,"₹29,854/mo",ARMY INSTITUTE OF TECHNOLOGY,PUNE,2018.0
TECH MAHINDRA,"₹29,854/mo",COLLEGE OF ENGINEERING PUNE,PUNE,2018.0
TECH MAHINDRA,"₹29,854/mo",DHOLE PATIL COLLEGE OF ENGINEERING PUNE,PUNE,2018.0
TECH MAHINDRA,"₹29,854/mo","DR. D. Y. PATIL VIDYAPEETH, PUNE",PUNE,2018.0
TECH MAHINDRA,"₹29,854/mo",INDIRA COLLEGE OF ENGINEERING AND MANAGEMENT,PUNE,2018.0
TECH MAHINDRA,"₹29,854/mo",MIT COLLEGE OF ENGINEERING,PUNE,2018.0
TECH MAHINDRA,"₹29,854/mo","TRINITY COLLEGE OF ENGINEERING AND RESEARCH,PUNE",PUNE,2018.0
TECH MAHINDRA,"₹29,854/mo",VISHWAKARMA INSTITUTE OF TECHNOLOGY,PUNE,2018.0
TECH MAHINDRA,"₹29,854/mo",BHARATI VIDYAPEETH COLLEGE OF ENGINEERING,PUNE,2015.0
TECH MAHINDRA,"₹29,854/mo",PUNE INSTITUTE OF COMPUTER TECHNOLOGY,PUNE,2015.0
TECH MAHINDRA,"₹29,854/mo",PUNE INSTITUTE OF COMPUTER TECHNOLOGY,PUNE,2018.0
TECH MAHINDRA,"₹29,854/mo",PUNE INSTITUTE OF COMPUTER TECHNOLOGY,PUNE,2018.0
MAJESCO,"₹485,992/yr",K. J. SOMAIYA COLLEGE OF ENGINEERING,MUMBAI,2018.0
MAJESCO,"₹485,992/yr",PILLAI HOC COLLEGE OF ENGINEERING AND TECHNOLOGY,NAVI MUMBAI,2018.0
MAJESCO,"₹485,992/yr",PILLAI HOC COLLEGE OF ENGINEERING AND TECHNOLOGY,NAVI MUMBAI,2018.0
MAJESCO,"₹485,992/yr",RAMRAO ADIK INSTITUTE OF TECHNOLOGY,NAVI MUMBAI,2017.0
MAJESCO,"₹485,992/yr",ALAMURI RATNAMALA INSTITUTE OF ENGINEERING & TECHNOLOGY,THANE,2016.0
NEWGEN SOFTWARE,"₹432,807/yr",COLLEGE OF ENGINEERING PUNE,PUNE,2018.0
NEWGEN SOFTWARE,"₹432,807/yr","DR. D. Y. PATIL VIDYAPEETH, PUNE",PUNE,2018.0
GE,"₹708,060/yr",DWARKADAS J. SANGHVI COLLEGE OF ENGINEERING,MUMBAI,2017.0
GE,"₹708,060/yr",DWARKADAS J. SANGHVI COLLEGE OF ENGINEERING,MUMBAI,2017.0
GE,"₹708,060/yr",DWARKADAS J. SANGHVI COLLEGE OF ENGINEERING,MUMBAI,2018.0
GE,"₹708,060/yr",BHARATI VIDYAPEETH COLLEGE OF ENGINEERING,PUNE,2017.0
JIO,"₹526,728/yr",THADOMAL SHAHANI ENGINEERING COLLEGE,MUMBAI,2018.0
GEP,"₹734,589/yr",K. J. SOMAIYA COLLEGE OF ENGINEERING,MUMBAI,2018.0
GEP,"₹734,589/yr",PILLAI HOC COLLEGE OF ENGINEERING AND TECHNOLOGY,NAVI MUMBAI,2018.0
GEP,"₹734,589/yr",PILLAI HOC COLLEGE OF ENGINEERING AND TECHNOLOGY,NAVI MUMBAI,2018.0
GEP,"₹734,589/yr",RAMRAO ADIK INSTITUTE OF TECHNOLOGY,NAVI MUMBAI,2016.0
GEP,"₹734,589/yr",DWARKADAS J. SANGHVI COLLEGE OF ENGINEERING,MUMBAI,2016.0
GEP,"₹734,589/yr",DWARKADAS J. SANGHVI COLLEGE OF ENGINEERING,MUMBAI,2017.0
ORACLE,"₹753,646/yr",PILLAI COLLEGE OF ENGINEERING,NAVI MUMBAI,2018.0
ORACLE,"₹753,646/yr",THAKUR COLLEGE OF ENGINEERING AND TECHNOLOGY,MUMBAI,2018.0
ORACLE,"₹753,646/yr",THADOMAL SHAHANI ENGINEERING COLLEGE,MUMBAI,2018.0
ORACLE,"₹753,646/yr",VEERMATA JIJABAI TECHNOLOGICAL INSTITUTE,MUMBAI,2014.0
ORACLE,"₹753,646/yr",DWARKADAS J. SANGHVI COLLEGE OF ENGINEERING,MUMBAI,2016.0
ORACLE,"₹753,646/yr","DR. D. Y. PATIL VIDYAPEETH, PUNE",PUNE,2018.0
LARSEN & TOUBRO,"₹485,375/yr",VISHWAKARMA INSTITUTE OF TECHNOLOGY,PUNE,2018.0
MORGAN STANLEY,"₹1,764,982/yr",THADOMAL SHAHANI ENGINEERING COLLEGE,MUMBAI,2018.0
MORGAN STANLEY,"₹1,764,982/yr",RAMRAO ADIK INSTITUTE OF TECHNOLOGY,NAVI MUMBAI,2016.0
MORGAN STANLEY,"₹1,764,982/yr",VEERMATA JIJABAI TECHNOLOGICAL INSTITUTE,MUMBAI,2015.0
MORGAN STANLEY,"₹1,764,982/yr",VEERMATA JIJABAI TECHNOLOGICAL INSTITUTE,MUMBAI,2014.0
MORGAN STANLEY,"₹1,764,982/yr",DWARKADAS J. SANGHVI COLLEGE OF ENGINEERING,MUMBAI,2015.0
MORGAN STANLEY,"₹1,764,982/yr",DWARKADAS J. SANGHVI COLLEGE OF ENGINEERING,MUMBAI,2016.0
MORGAN STANLEY,"₹1,764,982/yr",DWARKADAS J. SANGHVI COLLEGE OF ENGINEERING,MUMBAI,2017.0
MORGAN STANLEY,"₹1,764,982/yr",DWARKADAS J. SANGHVI COLLEGE OF ENGINEERING,MUMBAI,2018.0
MORGAN STANLEY,"₹1,764,982/yr",COLLEGE OF ENGINEERING PUNE,PUNE,2018.0
MORGAN STANLEY,"₹1,764,982/yr",PUNE INSTITUTE OF COMPUTER TECHNOLOGY,PUNE,2015.0
MORGAN STANLEY,"₹1,764,982/yr",PUNE INSTITUTE OF COMPUTER TECHNOLOGY,PUNE,2016.0
MORGAN STANLEY,"₹1,764,982/yr",PUNE INSTITUTE OF COMPUTER TECHNOLOGY,PUNE,2017.0
INGRAM MICRO,"₹515,321/yr",RAMRAO ADIK INSTITUTE OF TECHNOLOGY,NAVI MUMBAI,2017.0
TCS,"₹363,745/yr",PILLAI COLLEGE OF ENGINEERING,NAVI MUMBAI,2018.0
TCS,"₹363,745/yr",PILLAI HOC COLLEGE OF ENGINEERING AND TECHNOLOGY,NAVI MUMBAI,2018.0
TCS,"₹363,745/yr",PILLAI HOC COLLEGE OF ENGINEERING AND TECHNOLOGY,NAVI MUMBAI,2018.0
TCS,"₹363,745/yr",SMT. INDIRA GANDHI COLLEGE OF ENGINEERING,NAVI MUMBAI,2018.0
TCS,"₹363,745/yr",RAMRAO ADIK INSTITUTE OF TECHNOLOGY,NAVI MUMBAI,2018.0
TCS,"₹363,745/yr",LOKMANYA TILAK COLLEGE OF ENGINEERING,NAVI MUMBAI,2016.0
TCS,"₹363,745/yr",DWARKADAS J. SANGHVI COLLEGE OF ENGINEERING,MUMBAI,2015.0
TCS,"₹363,745/yr",DWARKADAS J. SANGHVI COLLEGE OF ENGINEERING,MUMBAI,2017.0
TCS,"₹363,745/yr",DWARKADAS J. SANGHVI COLLEGE OF ENGINEERING,MUMBAI,2018.0
TCS,"₹363,745/yr",COLLEGE OF ENGINEERING PUNE,PUNE,2018.0
TCS,"₹363,745/yr",INDIRA COLLEGE OF ENGINEERING AND MANAGEMENT,PUNE,2018.0
TCS,"₹363,745/yr","TRINITY COLLEGE OF ENGINEERING AND RESEARCH,PUNE",PUNE,2018.0
TCS,"₹363,745/yr",VISHWAKARMA INSTITUTE OF TECHNOLOGY,PUNE,2018.0
